,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Run Iteration,Inhib App Time Average,Inhib MPI Time Average,Inhib Total Messages Sent,Inhib Total Bytes Sent
533,8,200000,100000,0.5,0,360.0,235.98660714285714,124035072,24800000000000.0
534,8,4000,10000,1.0,0,360.0,335.23660714285717,410524800,1640000000000.0
535,8,40000,100,0.1,0,360.0,344.60267857142856,774204480,31000000000000.0
536,8,20000,1000000,0.7,1,360.0,11.808705357142857,48797952,976000000000.0
537,8,2000,1000000,0.5,1,361.0,17.40558035714286,34420736,68800000000.0
538,8,400000,1000,0.3,2,360.0,358.0,78641920,31500000000000.0
539,8,2000,100000,0.1,2,360.0,9.262455357142857,70418880,141000000000.0
540,8,40000,0,0.5,1,360.0,354.22767857142856,597194752,23900000000000.0
541,8,20000,0,0.7,0,360.0,346.6763392857143,1378401920,27600000000000.0
542,8,200000,1000000,0.7,2,361.0,85.20000000000002,38561600,7710000000000.0
543,8,20000,1000,1.0,1,360.0,341.4955357142857,1454058816,29100000000000.0
544,8,20000,0,0.7,2,360.0,346.50669642857144,1407989184,28200000000000.0
545,8,4000000,0,0.1,1,361.0,361.0,9797760,39200000000000.0
546,8,20000,1000,0.7,3,360.0,338.00669642857144,1323574336,26500000000000.0
547,8,2000000,100,1.0,0,363.0,362.953125,14418432,28800000000000.0
548,8,40000,1000000,0.7,0,361.0,26.100446428571438,46834816,1870000000000.0
549,8,200000,10000,0.3,2,360.0,329.96205357142856,171691520,34300000000000.0
550,8,2000,100000,0.7,2,360.0,202.77232142857142,218328768,437000000000.0
551,8,20000,100,0.1,0,360.0,339.6875,1111340160,22200000000000.0
552,8,20000,1000000,1.0,1,361.0,16.199553571428567,68888064,1380000000000.0
553,8,400000,100000,0.3,0,360.0,274.0,51507456,20600000000000.0
554,8,2000000,10000,1.0,0,361.0,360.0,14017920,28000000000000.0
555,8,2000,1000,1.0,3,360.0,354.734375,428748096,857000000000.0
556,8,4000,1000000,0.3,3,360.0,9.004955357142856,21071232,84300000000.0
557,8,2000,100,0.3,2,360.0,354.47098214285717,525099904,1050000000000.0
558,8,4000000,100,0.5,2,361.0,360.0,6723584,26900000000000.0
559,8,20000,1000000,0.1,0,360.0,1.9407589285714286,7217280,144000000000.0
560,8,4000,10000,0.7,2,360.0,322.80580357142856,443107840,1770000000000.0
561,8,200000,10000,0.3,3,360.0,329.0,176374016,35300000000000.0
562,8,4000,0,0.5,0,360.0,354.07589285714283,544911360,2180000000000.0
563,8,4000000,100,0.1,2,361.0,361.0,7519680,30100000000000.0
564,8,4000,10000,0.3,0,360.0,258.99107142857144,557277056,2230000000000.0
565,8,200000,0,0.5,0,360.0,359.0,158154752,31600000000000.0
