,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,Inhib App Time Average Mean,Inhib App Time Average Median,Inhib App Time Average Std,Inhib MPI Time Average Mean,Inhib MPI Time Average Median,Inhib MPI Time Average Std,Inhib Total Messages Sent Mean,Inhib Total Messages Sent Median,Inhib Total Messages Sent Std,Inhib Total Bytes Sent Mean,Inhib Total Bytes Sent Median,Inhib Total Bytes Sent Std
0,8,20,5000,0.01,360.0,360.0,0.0,8.14830357142857,7.989966517857143,1.98068139938507,153583360.0,153653920.0,833992.240411544,2580500000.0,2583000000.0,13379088.1602597
1,8,20,5000,0.05,359.90625,359.9375,0.11967838846954226,13.289732142857144,13.07779017857143,0.9753799387549407,687114512.0,687493184.0,1999743.7838229842,13269500000.0,13269500000.0,58312377.1881522
2,8,20,10000,0.01,360.0,360.0,0.0,9.271545758928571,9.113537946428572,0.35929762151983746,76618080.0,76640480.0,58768.88065407973,1288775000.0,1291300000.0,5050000.0
3,8,20,10000,0.05,360.0,360.0,0.0,10.48849330357143,11.054575892857143,1.1915319759133571,349060880.0,348481280.0,1194060.5205611042,6740700000.0,6730600000.0,20200000.0
4,8,20,25000,0.01,360.0,360.0,0.0,3.8493080357142855,3.3908147321428572,0.9990641618789624,31564400.0,31601920.0,87701.55452822156,530250000.0,530800000.0,1508862.7063675034
5,8,20,25000,0.05,360.0,360.0,0.0,3.474866071428572,3.333816964285715,0.4009682171950464,144990160.0,145044256.0,151291.12118473553,2800200000.0,2800200000.0,5773502.691896189
6,8,20,50000,0.01,360.0,360.0,0.0,1.5192466517857142,1.5118749999999999,0.08705154220582133,15970080.0,15970080.0,3879.793808954285,268300000.0,268300000.0,577350.2691896257
7,8,20,50000,0.05,360.0,360.0,0.0,2.1139174107142855,2.111171875,0.16119621700773298,73251136.0,73256288.0,32584.109010374195,1412700000.0,1412700000.0,0.0
8,8,200,5000,0.01,360.0,360.0,0.0,7.529620535714285,7.695457589285713,0.41264100151135613,153844320.0,153770400.0,172644.76978273643,24748000000.0,24723000000.0,49999999.99999968
9,8,200,5000,0.05,360.0,360.0,0.0,13.192354910714284,13.697544642857142,1.316014429642456,687431360.0,686478240.0,2575271.7477258015,131369250000.0,131119000000.0,500500000.00000125
10,8,200,10000,0.01,360.0,360.0,0.0,8.861127232142858,8.816629464285715,0.47874267793679404,76705440.0,76720000.0,113932.13418522336,12336375000.0,12361400000.0,50116688.837152995
11,8,200,10000,0.05,360.0,360.0,0.0,9.6871484375,9.670513392857142,0.36599705997955423,349833680.0,349836256.0,370406.9445569229,66960825000.0,66960800000.0,81690488.02237296
