,App,Num Nodes,Inhib Message Size,Inhib Wait Time (us),Inhib Comm Sparsity,App Time Average Mean,App Time Average Median,App Time Average Std,MPI Time Average Mean,MPI Time Average Median,MPI Time Average Std,Total Messages Sent Mean,Total Messages Sent Median,Total Messages Sent Std,Inhib App Time Average Mean,Inhib App Time Average Median,Inhib App Time Average Std,Inhib MPI Time Average Mean,Inhib MPI Time Average Median,Inhib MPI Time Average Std,Inhib Total Messages Sent Mean,Inhib Total Messages Sent Median,Inhib Total Messages Sent Std
1184,lammps,8,2000,10000,0.1,364.0,364.0,,27.776785714285715,27.776785714285715,,457408.0,457408.0,,266.0,266.0,,35.640625,35.640625,,446785920.0,446785920.0,
1185,lammps,8,2000,10000,0.3,354.6666666666667,355.0,1.5275252316519405,19.515543154761904,19.267366071428572,1.9541877560562675,457408.0,457408.0,0.0,266.0,266.0,0.0,207.98958333333334,217.02678571428572,28.72514629869593,327754709.3333333,277527936.0,162609261.75713035
1186,lammps,8,2000,10000,0.5,356.0,354.0,4.690415759823424,20.197589285714287,18.379676339285716,4.7539202608702755,457408.0,457408.0,0.0,266.0,266.0,0.0,239.06194196428572,239.53236607142856,3.2292477779820157,248797696.0,245310464.0,30521570.419075623
1187,lammps,8,2000,10000,0.7,370.5,370.0,15.609825965290794,33.939068080357146,34.659196428571434,16.179108883205387,457408.0,457408.0,0.0,266.0,266.0,0.0,242.94642857142856,247.3515625,9.94379283091508,290579184.0,235716544.0,125691888.63647194
1188,lammps,8,2000,10000,1.0,353.3333333333333,353.0,1.5275252316519452,17.915677083333335,17.191651785714285,2.0434334090994337,457408.0,457408.0,0.0,266.0,266.0,0.0,248.68675595238096,249.00892857142858,0.5951260125129437,301318528.0,293575296.0,13759982.09606277
1189,lammps,8,2000,100000,0.1,352.75,353.0,5.377421934967221,18.21556919642857,17.841104910714286,4.624728683785695,457408.0,457408.0,0.0,266.0,266.0,0.0,3.901886160714286,3.767477678571429,2.0410558094109943,52642800.0,52668000.0,403325.98031864996
1190,lammps,8,2000,100000,0.3,356.0,358.0,5.291502622129181,19.942127976190477,21.43720982142857,4.226801245681484,457408.0,457408.0,0.0,266.0,266.0,0.0,111.66592261904763,111.0,1.1534118100998128,92249173.33333333,92509312.0,503458.1929230382
1191,lammps,8,2000,100000,0.5,354.75,354.0,10.531698185319726,18.693080357142858,17.004207589285713,7.311673104052852,457408.0,457408.0,0.0,266.0,266.0,0.0,143.01339285714286,150.5,23.454632060502192,122655232.0,115404800.0,23106452.055822905
1192,lammps,8,2000,100000,0.7,358.0,357.0,6.557438524302,20.878690476190474,19.377343749999998,6.1343422666501395,457408.0,457408.0,0.0,266.0,266.0,0.0,151.99925595238096,161.99776785714286,18.192791985625757,158266154.66666666,144991616.0,24960397.17799549
1193,lammps,8,2000,100000,1.0,350.75,348.0,6.238322424070967,15.553962053571427,14.21271205357143,5.036782922408216,457408.0,457408.0,0.0,266.0,266.0,0.0,170.50613839285714,176.51227678571428,15.288038103458558,188741280.0,176826048.0,29940560.23362342
1194,lammps,8,2000,1000000,0.1,356.75,354.5,6.396613687465166,20.863599330357143,18.798683035714284,5.457793465188519,457408.0,457408.0,0.0,267.0,267.0,0.0,0.7198872767857143,0.7166964285714287,0.11753261597525755,5362560.0,5362560.0,0.0
1195,lammps,8,2000,1000000,0.3,357.25,357.5,3.2015621187164234,20.826718749999998,21.723102678571426,2.503323355010531,457408.0,457408.0,0.0,291.75,267.0,50.168881457200804,75.03142857142858,22.96696428571429,116.28249783818025,12996928.0,14617792.0,3973163.093237092
1196,lammps,8,2000,1000000,0.5,357.0,357.0,2.449489742783178,20.509815848214288,20.556395089285715,2.8881229036130973,457408.0,457408.0,0.0,266.5,266.5,0.577350269189634,37.71160714285715,46.02154017857144,17.414454115092088,22955520.0,22127616.0,1758070.4275434094
1197,lammps,8,2000,1000000,0.7,359.5,360.5,4.041451884327378,22.934263392857144,24.01390625,5.4821496718998475,457408.0,457408.0,0.0,266.75,267.0,0.5,38.23642299107143,47.25,18.87503303343612,32006128.0,30779168.0,2596669.329388451
1198,lammps,8,2000,1000000,1.0,355.25,354.5,2.8722813232690143,19.974140625,19.719955357142858,4.142620378716079,457408.0,457408.0,0.0,266.5,266.5,0.5773502691896257,54.98275669642857,54.73136160714286,0.6677201408600304,42304080.0,42254016.0,100128.0
1199,lammps,8,4000,0,0.1,363.0,363.0,,24.449107142857144,24.449107142857144,,457408.0,457408.0,,266.0,266.0,,240.140625,240.140625,,2407003200.0,2407003200.0,
1200,lammps,8,4000,0,0.3,356.0,356.0,8.48528137423857,20.377801339285714,20.377801339285714,7.1730143006977025,457408.0,457408.0,0.0,266.0,266.0,0.0,255.70424107142858,255.70424107142858,0.9801636408858228,1180259136.0,1180259136.0,416212781.195711
1201,lammps,8,4000,0,0.5,413.8125,357.5,119.7837243743907,76.67487723214285,18.749441964285715,118.92570959580777,457408.0,457408.0,0.0,266.0,266.0,0.0,260.70033482142856,260.5178571428571,1.6820045618749644,722434048.0,738540544.0,370717610.58533734
1202,lammps,8,4000,0,0.7,363.5,364.0,10.246950765959598,27.869453125000003,27.529129464285713,11.564945144071984,457408.0,457408.0,0.0,266.0,266.0,0.0,261.0797991071429,262.8080357142857,4.362647457436551,689621632.0,401601536.0,617604675.8182895
1203,lammps,8,4000,0,1.0,355.5,353.5,5.916079783099619,19.414090401785714,17.452131696428573,5.46953318718875,457408.0,457408.0,0.0,266.0,266.0,0.0,262.9213169642857,262.9553571428571,0.10590139828940931,383039664.0,358558368.0,77495600.6457694
1204,lammps,8,4000,100,0.3,356.75,353.5,9.06917857360853,18.85388392857143,16.545848214285712,7.529131822162225,457408.0,457408.0,0.0,266.0,266.0,0.0,255.37779017857142,255.20200892857144,1.408793258362494,864460800.0,800766848.0,276560498.14640427
1205,lammps,8,4000,100,0.5,358.0,358.0,2.943920288775949,20.795675223214285,21.028571428571425,2.770133626662918,457408.0,457408.0,0.0,266.0,266.0,0.0,260.4508928571429,260.3415178571429,0.3871851090544005,552538112.0,526797824.0,63477009.590832524
1206,lammps,8,4000,100,0.7,352.6666666666667,352.0,4.0414518843273814,17.817901785714284,17.12035714285714,2.474490879353922,457408.0,457408.0,0.0,266.0,266.0,0.0,262.17261904761904,262.1049107142857,0.25569811048039326,329152469.3333333,323496768.0,31859045.038133908
1207,lammps,8,4000,100,1.0,358.25,358.0,4.031128874149278,23.126690848214288,22.549308035714287,5.640821616070049,457408.0,457408.0,0.0,266.0,266.0,0.0,262.5290178571429,262.5580357142857,0.47229737651424925,429298800.0,437158848.0,69752047.1696136
1208,lammps,8,4000,1000,0.1,361.0,361.0,2.8284271247461903,24.719832589285716,24.719832589285716,2.832167845887736,457408.0,457408.0,0.0,266.0,266.0,0.0,175.92522321428572,175.92522321428572,11.820363134611743,1394638560.0,1394638560.0,126287460.92655756
1209,lammps,8,4000,1000,0.3,353.3333333333333,352.0,6.110100926607785,18.199940476190477,17.726674107142856,4.8206137779990765,457408.0,457408.0,0.0,266.0,266.0,0.0,245.13764880952382,248.42633928571428,6.3368209703785565,779595562.6666666,624873088.0,301603219.535684
1210,lammps,8,4000,1000,0.5,357.75,358.5,6.601767440112785,21.283258928571428,20.967031249999998,5.095528979001071,457408.0,457408.0,0.0,266.0,266.0,0.0,253.29129464285714,252.70200892857144,3.2582203751874284,646191616.0,668745728.0,216160046.30354184
1211,lammps,8,4000,1000,0.7,361.25,359.5,8.500000000000004,25.476501116071425,21.990267857142854,9.296827111031387,457408.0,457408.0,0.0,266.0,266.0,0.0,259.60770089285717,259.46986607142856,0.7749906029130362,407806448.0,432030144.0,82545647.91872542
1212,lammps,8,4000,1000,1.0,361.5,363.5,12.233832869001711,24.239324776785715,25.85685267857143,9.694273016113712,457408.0,457408.0,0.0,266.0,266.0,0.0,260.6696428571429,260.8392857142857,0.45333936695665905,401813664.0,388797024.0,66155744.84707553
1213,lammps,8,4000,10000,0.1,356.0,352.0,11.532562594670797,22.177581845238098,17.945401785714285,11.429151014058355,457408.0,457408.0,0.0,266.0,266.0,0.0,47.88206845238094,47.87165178571428,0.23521769564421632,421606080.0,421263360.0,1848464.2325995923
1214,lammps,8,4000,10000,0.3,355.5,355.5,3.5355339059327378,18.58050223214286,18.58050223214286,0.9455816998684119,457408.0,457408.0,0.0,266.0,266.0,0.0,149.61160714285714,149.61160714285714,31.82611860679808,658851200.0,658851200.0,181257376.4105748
1215,lammps,8,4000,10000,0.5,357.0,356.0,8.54400374531753,21.135238095238098,21.926116071428574,7.882869813222471,457408.0,457408.0,0.0,266.0,266.0,0.0,211.5513392857143,206.99776785714286,13.290493482040958,493497685.3333333,547420160.0,121061049.81234533
1216,lammps,8,4000,10000,0.7,360.25,360.0,5.852349955359809,23.794949776785714,23.821305803571427,4.526134312442805,457408.0,457408.0,0.0,266.0,266.0,0.0,236.90569196428572,240.49107142857144,10.088916214624291,357921760.0,311928288.0,130467135.47946243
1217,lammps,8,4000,10000,1.0,362.25,363.5,8.732124598286491,25.342276785714287,26.198348214285716,6.772769062351777,457408.0,457408.0,0.0,266.0,266.0,0.0,245.20256696428572,245.50111607142856,2.3738776319682775,360610992.0,361662336.0,45981142.641612895
1218,lammps,8,4000,100000,0.1,356.5,357.5,4.358898943540671,20.97467075892857,21.184921875,5.9943111897216035,457408.0,457408.0,0.0,266.0,266.0,0.0,5.872131696428571,6.452087053571429,2.240056384927484,52204320.0,52093440.0,432227.1402862157
1219,lammps,8,4000,100000,0.3,355.75,358.0,6.849574196011513,20.563147321428573,21.77950892857143,5.184035382938905,457408.0,457408.0,0.0,266.0,266.0,0.0,41.901395089285714,49.228906249999994,20.373206998962775,133616224.0,129308928.0,12254213.509984555
1220,lammps,8,4000,100000,0.5,358.6666666666667,361.0,12.662279942148395,24.617879464285718,26.779464285714283,11.831366422854964,457408.0,457408.0,0.0,266.0,266.0,0.0,82.56956845238095,78.63392857142857,9.45583892337243,182339584.0,185851904.0,9292725.244878383
1221,lammps,8,4000,100000,0.7,357.75,354.5,7.544313531837517,22.545284598214288,19.309285714285714,8.06095929686696,457408.0,457408.0,0.0,266.0,266.0,0.0,141.62109375,140.49888392857144,10.626908775717332,172019792.0,174158208.0,14704755.86540935
1222,lammps,8,4000,100000,1.0,356.25,356.5,5.0579969684978385,20.405463169642857,21.879185267857146,4.391656657663321,457408.0,457408.0,0.0,266.0,266.0,0.0,155.05412946428572,157.5,20.781096744406376,219080064.0,214374048.0,41282860.612473644
1223,lammps,8,4000,1000000,0.1,356.5,355.5,4.654746681256314,20.377885044642856,19.65970982142857,4.426929893425931,457408.0,457408.0,0.0,267.0,267.0,0.0,0.7331356026785715,0.7984787946428571,0.16773216627819462,5362560.0,5362560.0,0.0
1224,lammps,8,4000,1000000,0.3,365.25,369.5,8.845903006477071,27.927321428571428,31.95832589285714,8.528801937418285,457408.0,457408.0,0.0,266.25,266.0,0.5,4.705775669642856,4.405758928571428,2.787013002921617,15698368.0,15728384.0,158829.74270582944
1225,lammps,8,4000,1000000,0.5,365.25,359.5,16.17353805861085,29.83047433035714,24.572734374999996,16.764897391945624,457408.0,457408.0,0.0,266.5,266.5,0.5773502691896257,16.352137276785715,15.704464285714284,7.458027560496847,25088000.0,25188352.0,741971.6796607985
1226,lammps,8,4000,1000000,0.7,355.6666666666667,354.0,8.621678104251714,22.177678571428572,20.006517857142857,8.720871760608986,457408.0,457408.0,0.0,266.6666666666667,267.0,0.5773502691896216,32.521502976190476,30.630133928571432,5.325561848572996,32765674.666666668,32952640.0,719573.6802449995
1227,lammps,8,4000,1000000,1.0,359.25,361.0,4.272001872658765,22.66708705357143,23.82015625,4.430025196657231,457408.0,457408.0,0.0,266.25,266.0,0.4999999999999952,42.145535714285714,44.95,10.703738136641288,44857344.0,44256576.0,2087534.7314265217
1228,lammps,8,20000,0,0.1,357.0,357.0,1.4142135623730951,19.026395089285714,19.026395089285714,0.21842970412590676,457408.0,457408.0,0.0,266.0,266.0,0.0,261.0,261.0,1.4142135623730951,495996480.0,495996480.0,132574036.19110343
1229,lammps,8,20000,0,0.3,635.0,364.0,471.9862286126577,297.0477380952381,26.74691964285714,473.50270079199385,457408.0,457408.0,0.0,266.0,266.0,0.0,258.6763392857143,257.9330357142857,1.5374539176145132,712479786.6666666,761325824.0,150187302.85891315
1230,lammps,8,20000,0,0.5,356.0,355.0,7.393691004272944,18.523108258928573,17.735044642857144,4.2966217935357705,457408.0,457408.0,0.0,266.0,266.0,0.0,259.8655133928571,259.46875,1.5711330119355407,642729472.0,684400640.0,163353234.55842108
1231,lammps,8,20000,0,0.7,768.25,769.5,469.73210450213,429.9341517857143,430.88542410714285,467.6525077813802,457408.0,457408.0,0.0,266.0,266.0,0.0,259.1674107142857,258.7734375,1.255873477689638,729550416.0,783361376.0,141078370.3382523
1232,lammps,8,20000,0,1.0,763.25,764.5,463.95931933737467,426.1831919642857,428.721171875,461.2018504712891,457408.0,457408.0,0.0,266.0,266.0,0.0,260.4681919642857,260.1049107142857,1.5940588175778516,737342592.0,806831424.0,190677645.9211162
1233,lammps,8,20000,100,0.1,364.0,364.0,4.242640687119285,26.268325892857142,26.268325892857142,3.6717150958451814,457408.0,457408.0,0.0,266.0,266.0,0.0,255.66964285714283,255.66964285714283,3.3019361300050316,561949920.0,561949920.0,184277910.30563375
1234,lammps,8,20000,100,0.3,409.75,355.5,116.35112089418536,74.85007254464286,18.544910714285713,116.8029787714759,457408.0,457408.0,0.0,313.2516741071429,266.0,94.50334821428574,302.57700892857144,255.43415178571428,98.44586953034425,796834752.0,782667200.0,343491222.2426003
