,Num Nodes,App A,App B,Run Iteration,App A Time Average,App B Time Average,App A MPI Time Average,App B MPI Time Average,App A Total Messages Sent,App B Total Messages Sent,App A Total Bytes Sent,App B Total Bytes Sent
61,8,minivite,kripke,2,369.0,354.0,51.558928571428574,17.121875,24089720,302720,1134700459640.0,388038679360.0
62,8,beatnik,amg,3,406.7767857142857,347.0,113.78125,20.64107142857143,19996182,106441449,10926550043000.0,1008232000000.0
63,8,fiesta,quicksilver,3,353.06919642857144,304.0,54.33415178571429,142.74736607142856,645120,762710,1640000000000.0,160110400.0
64,8,minivite,laghos,3,379.0,346.0,60.416294642857146,72.26696428571428,24089720,801311390,1134700459640.0,633722271800.0
65,8,beatnik,lammps,0,409.0044642857143,356.0,118.32142857142857,19.959821428571427,19996182,457408,10926550043000.0,670420822000.0
66,8,laghos,quicksilver,0,318.0,297.0,43.48816964285714,135.78017857142856,801311390,762710,633722271800.0,160110400.0
67,8,fiesta,quicksilver,2,353.3549107142857,298.0,53.583928571428565,137.0250669642857,645120,762710,1640000000000.0,160110400.0
68,8,lammps,fiesta,2,353.0,364.14732142857144,16.92060267857143,97.22254464285713,457408,645120,670420822000.0,1640000000000.0
69,8,fiesta,kripke,1,361.71205357142856,354.0,68.26276785714286,17.13013392857143,645120,302720,1640000000000.0,388038679360.0
70,8,minivite,quicksilver,1,377.0,298.0,59.509375,136.99495535714286,24089720,762710,1134700459640.0,160110400.0
71,1,beatnik,tricount,2,376.0,284.0,85.33571428571429,51.56428571428571,375894,243320,1305996005380.0,2510000237640.0
72,8,minife,laghos,1,384.0,322.0,12.283303571428572,47.66495535714286,6788000,801311390,382248662610.0,633722271800.0
73,1,beatnik,tricount,1,385.7857142857143,282.0,88.46607142857144,50.5875,375894,243320,1305996005380.0,2510000237640.0
74,1,fiesta,fiesta,0,298.73214285714283,297.89285714285717,38.91410714285714,38.950892857142854,67200,67200,170600000000.0,0.0
75,8,lammps,kripke,1,346.0,357.0,11.761875,19.09419642857143,457408,302720,670420822000.0,388038679360.0
76,8,fiesta,kripke,3,356.18080357142856,355.0,71.97924107142856,17.808482142857144,645120,302720,1640000000000.0,388038679360.0
