,App A,App B,Num Nodes,App A Time Average Mean,App A Time Average Median,App A Time Average Std,App B Time Average Mean,App B Time Average Median,App B Time Average Std,App A MPI Time Average Mean,App A MPI Time Average Median,App A MPI Time Average Std,App B MPI Time Average Mean,App B MPI Time Average Median,App B MPI Time Average Std,App A Total Messages Sent Mean,App A Total Messages Sent Median,App A Total Messages Sent Std,App B Total Messages Sent Mean,App B Total Messages Sent Median,App B Total Messages Sent Std,App A Total Bytes Sent Mean,App A Total Bytes Sent Median,App A Total Bytes Sent Std,App B Total Bytes Sent Mean,App B Total Bytes Sent Median,App B Total Bytes Sent Std
13,beatnik,minife,1,372.83482142857144,373.1696428571429,2.286522132165869,384.0,384.0,0.0,84.15580357142858,84.33214285714286,0.777977841383468,10.405982142857143,10.452410714285714,0.1412588041323368,375894.0,375894.0,0.0,637048.0,637048.0,0.0,1305996005380.0,1305996005380.0,0.0,40726202806.0,40726202806.0,0.0
14,beatnik,minife,8,411.57142857142856,410.6227678571429,5.776393264710857,389.5,389.5,1.2909944487358056,118.61049107142857,118.59040178571428,3.375582836185456,18.320569196428572,18.539107142857144,0.7690900620282242,19996182.0,19996182.0,0.0,6788000.0,6788000.0,0.0,10926550043000.0,10926550043000.0,0.0,382248662610.0,382248662610.0,0.0
15,beatnik,minivite,1,368.75,369.0,3.7749172176353705,441.0,442.0,2.8284271247461903,83.39375000000001,83.38392857142858,1.368068101971785,26.525000000000002,26.908035714285717,1.4715939863101564,375894.0,375894.0,0.0,747720.0,747720.0,0.0,1305996005380.0,1305996005380.0,0.0,143780111184.0,143780111184.0,0.0
16,beatnik,minivite,8,409.734375,410.14732142857144,1.3911127851606429,387.0,387.5,14.491376746189438,115.89787946428572,116.18638392857143,1.8955982852745543,67.60915178571429,67.19162946428571,13.387002620433444,19996182.0,19996182.0,0.0,24089720.0,24089720.0,0.0,10926550043000.0,10926550043000.0,0.0,1134700459640.0,1134700459640.0,0.0
17,beatnik,quicksilver,8,410.9614955357143,411.93638392857144,5.605118094092158,293.9849330357143,293.5,2.1789749569866523,116.46824776785715,117.98660714285714,7.142445115476371,132.6899776785714,132.62812499999998,1.9861812956500278,19996182.0,19996182.0,0.0,762710.0,762710.0,0.0,10926550043000.0,10926550043000.0,0.0,160110400.0,160110400.0,0.0
18,beatnik,tricount,1,374.44642857142856,374.0,9.057333443991444,287.75,283.0,10.904891868637064,85.57232142857143,84.83214285714286,1.9978626440668645,56.52455357142857,51.075892857142854,11.45660404777078,375894.0,375894.0,0.0,243320.0,243320.0,0.0,1305996005380.0,1305996005380.0,0.0,2510000237640.0,2510000237640.0,0.0
19,beatnik,tricount,8,456.15011160714283,456.3404017857143,5.333251342662202,402.0,398.5,10.424330514074589,162.98939732142856,162.58928571428572,7.519581283239768,228.40625,224.97544642857142,10.515774487596232,19996182.0,19996182.0,0.0,7120960.0,7120960.0,0.0,10926550043000.0,10926550043000.0,0.0,10200000956600.0,10200000956600.0,0.0
20,fiesta,amg,8,356.2890625,354.9955357142857,3.9483948839158036,342.0,341.5,1.4142135623730983,66.73203125,61.75457589285715,14.311351503307336,13.131255580357143,13.012801339285716,1.400804264823374,645120.0,645120.0,0.0,106441449.0,106441449.0,0.0,1640000000000.0,1640000000000.0,0.0,1008232000000.0,1008232000000.0,0.0
21,fiesta,fiesta,1,298.30357142857144,298.4017857142857,0.4864228025670017,298.36607142857144,298.19642857142856,0.7945258073237172,38.97517857142857,38.22285714285714,2.110854151960843,38.6109375,38.72125,0.725045130764567,67200.0,67200.0,0.0,67200.0,67200.0,0.0,170600000000.0,170600000000.0,0.0,0.0,0.0,0.0
22,fiesta,fiesta,8,356.16015625,356.2366071428571,2.2389526889037907,354.27734375,353.45424107142856,2.0085353244409125,62.06932477678571,62.51986607142857,6.160235249458803,64.186328125,59.44944196428571,14.818558850857091,645120.0,645120.0,0.0,645120.0,645120.0,0.0,1640000000000.0,1640000000000.0,0.0,0.0,0.0,0.0
